4,4,1,2,4,3,1,5,19,18,0
4,4,2,2,4,4,1,3,5,6,1
1,1,1,2,5,3,1,3,5,5,1
1,1,1,2,4,2,3,3,7,8,0
4,2,1,3,3,2,1,5,15,14,0
3,3,1,2,4,2,2,5,6,10,0
4,3,1,2,5,2,2,5,15,15,0
2,2,1,2,4,4,1,3,12,12,0
4,4,2,2,4,4,1,1,6,5,1
3,2,1,2,4,2,1,1,16,18,0
3,4,1,2,5,1,1,5,14,15,0
4,4,1,2,3,3,2,2,10,8,1
2,1,3,3,5,2,1,4,10,12,0
4,4,1,1,4,3,3,5,14,14,0
4,3,2,2,5,3,2,3,10,10,0
2,2,1,3,4,2,1,3,14,16,0
4,4,1,1,4,4,2,2,14,14,0
4,4,1,3,3,3,2,2,13,14,0
3,3,3,2,5,2,1,4,8,10,0
3,2,1,1,5,5,4,5,6,5,1
4,3,1,1,3,3,3,5,8,10,0
4,3,1,2,4,1,1,1,13,14,0
4,4,1,1,5,2,1,5,12,15,0
4,2,1,2,4,1,3,5,15,15,0
2,2,2,2,5,4,4,5,13,13,0
2,4,1,3,4,2,1,5,10,9,1
2,2,1,1,1,2,3,5,6,9,1
2,2,1,1,4,2,2,5,12,12,0
4,2,1,1,2,4,4,1,15,16,0
3,4,1,2,5,3,1,5,11,11,0
4,4,1,2,4,5,5,5,10,12,0
4,4,1,2,5,2,4,5,9,11,0
4,4,2,2,4,1,1,5,17,16,0
4,3,1,2,4,2,1,5,17,16,0
3,3,1,2,5,2,1,2,8,10,0
3,2,1,1,5,3,1,5,12,14,0
2,3,2,1,3,1,1,5,8,7,1
4,3,1,3,5,3,1,4,15,16,0
4,4,2,3,2,3,1,5,15,16,0
3,4,1,3,4,2,1,5,12,12,0
2,2,1,1,4,1,1,2,14,13,0
2,2,2,2,3,3,2,3,7,10,0
4,4,1,1,5,3,4,5,12,12,0
2,2,1,1,5,1,1,1,8,8,0
2,2,2,2,4,3,2,5,10,10,1
4,3,1,2,5,2,1,5,8,8,1
3,3,1,2,2,5,4,3,11,12,0
4,3,1,4,4,2,1,2,19,19,0
4,2,1,2,4,3,2,5,15,15,0
4,4,1,2,4,4,1,3,7,7,1
2,2,3,2,4,3,3,4,12,13,0
4,2,1,2,4,3,1,5,11,13,0
4,2,2,1,5,5,4,5,11,11,0
4,4,1,1,3,4,3,5,8,10,0
3,3,1,1,5,4,4,1,10,13,0
2,1,1,2,5,4,1,2,8,9,0
4,3,1,2,4,2,1,1,14,15,0
4,4,1,2,3,2,1,5,14,15,0
1,2,1,2,4,2,1,5,9,10,1
4,2,1,2,4,3,1,5,15,16,0
4,4,1,2,2,4,3,4,10,11,0
1,1,4,1,5,5,5,5,10,8,0
1,2,1,2,4,3,1,1,8,10,1
4,3,1,3,3,4,4,4,10,9,1
4,3,1,2,4,4,4,2,10,10,0
4,3,3,2,5,3,2,1,16,15,0
4,4,1,4,1,3,5,3,13,13,0
3,1,1,4,4,3,2,5,7,7,1
2,2,2,2,4,3,3,4,8,9,1
3,1,2,4,4,2,3,3,16,16,0
3,1,2,4,4,2,1,5,13,15,0
4,2,1,4,3,3,1,3,10,10,0
1,1,1,2,3,4,4,5,8,6,1
3,1,1,1,5,2,2,5,12,12,0
3,3,1,2,4,3,4,5,11,12,0
4,3,1,2,4,3,3,5,9,9,0
4,0,2,4,3,3,1,1,11,11,0
2,2,1,4,5,3,3,3,11,11,0
2,1,2,1,4,1,1,3,8,8,0
3,4,1,2,2,3,2,3,5,5,1
2,3,1,1,3,2,3,3,10,12,0
2,3,1,3,5,2,2,5,11,10,0
3,2,1,2,4,4,1,5,7,6,1
2,2,2,2,5,3,3,4,15,15,0
1,1,1,2,4,2,3,4,9,10,0
4,4,2,2,4,4,3,5,7,9,1
2,2,1,2,4,4,2,2,8,7,1
4,2,1,3,5,3,3,1,13,14,0
2,2,2,2,4,2,1,3,11,10,0
4,4,1,2,4,3,5,5,8,6,1
3,3,1,3,4,3,3,4,7,7,1
4,3,1,1,4,5,3,1,16,17,0
3,1,1,2,3,3,3,2,7,6,1
4,2,2,2,5,3,1,1,11,10,0
2,2,1,4,4,4,1,4,11,13,0
1,1,2,4,3,2,1,1,7,10,0
4,3,2,1,3,3,1,4,11,15,0
2,1,1,2,4,5,1,5,8,9,0
4,4,1,1,5,4,2,1,11,14,0
4,3,1,3,5,5,1,3,7,9,1
4,4,1,1,4,5,5,4,7,7,1
4,4,1,3,4,3,1,4,16,17,0
4,4,1,1,5,3,1,5,10,13,0
3,2,2,2,4,5,1,2,7,6,1
3,4,1,2,5,4,1,1,16,18,0
3,3,1,4,4,3,1,4,10,11,0
2,2,1,4,5,2,1,3,7,8,1
3,3,1,3,5,3,1,5,16,18,0
4,4,4,4,1,5,5,1,10,13,0
4,4,1,3,5,5,1,4,14,15,0
4,4,1,1,5,3,1,4,18,19,0
3,3,1,3,4,2,1,2,7,10,0
2,2,1,2,3,2,1,5,10,13,0
4,2,1,1,3,2,1,3,18,19,0
2,1,1,2,5,2,1,5,9,9,1
4,4,1,2,5,4,2,5,15,15,0
4,4,2,2,4,3,1,2,11,13,0
3,3,2,1,5,2,1,5,13,14,0
1,3,3,2,5,4,4,5,9,7,1
3,4,1,1,3,3,2,4,14,13,0
1,2,1,2,3,3,2,1,16,15,0
2,2,1,4,5,4,2,5,16,14,0
2,4,2,2,4,2,2,5,13,13,0
4,4,1,1,3,4,4,5,14,11,0
2,2,1,2,5,4,1,5,8,7,1
3,4,1,1,5,5,2,5,13,13,0
3,4,1,2,5,2,1,1,7,10,0
0,1,1,2,3,2,1,5,7,8,1
2,2,1,1,3,3,2,4,7,4,1
4,4,1,1,3,5,5,4,18,18,0
3,4,2,3,4,2,2,5,12,0,1
1,1,3,1,4,3,2,4,8,0,1
2,2,1,1,3,4,3,5,10,13,0
3,4,1,1,3,1,4,5,12,11,0
3,4,4,2,5,3,1,5,9,0,1
4,4,1,3,4,3,1,5,11,0,1
3,4,3,2,5,5,4,5,10,0,1
3,3,2,1,4,2,1,5,4,0,1
1,1,1,2,4,4,3,5,14,12,0
4,4,2,1,4,2,1,5,16,16,0
4,3,2,4,2,2,1,3,7,9,1
2,2,2,1,2,3,2,2,9,9,1
4,4,1,3,4,2,1,5,9,11,0
