15.36	14.76	5.701	3.393	5.132	1
14.99	14.56	5.57	3.377	5.175	1
14.79	14.52	5.545	3.291	5.111	1
14.86	14.67	5.678	3.258	5.351	1
14.43	14.4	5.585	3.272	5.144	1
15.78	14.91	5.674	3.434	5.136	1
14.49	14.61	5.715	3.113	5.396	1
14.33	14.28	5.504	3.199	5.224	1
14.52	14.6	5.741	3.113	5.487	1
16.17	15.38	5.762	3.387	5.703	2
18.43	15.97	5.98	3.771	5.905	2
15.99	14.89	5.363	3.582	5.144	2
18.75	16.18	6.111	3.869	5.992	2
18.65	16.41	6.285	3.594	6.102	2
17.98	15.85	5.979	3.687	5.919	2
20.16	17.03	6.513	3.773	6.185	2
17.55	15.66	5.791	3.69	5.661	2
18.3	15.89	5.979	3.755	5.962	2
11.87	13.02	5.132	2.953	5.132	3
10.82	12.83	5.18	2.63	5.089	3
12.11	13.27	5.236	2.975	5.012	3
12.8	13.47	5.16	3.126	4.914	3
12.79	13.53	5.224	3.054	4.958	3
13.37	13.78	5.32	3.128	5.091	3
12.62	13.67	5.41	2.911	5.231	3
12.76	13.38	5.073	3.155	4.83	3
12.38	13.44	5.219	2.989	5.045	3
