15.26	14.84	5.763	3.312	5.22	1
14.88	14.57	5.554	3.333	4.956	1
14.29	14.09	5.291	3.337	4.825	1
13.84	13.94	5.324	3.379	4.805	1
16.14	14.99	5.658	3.562	5.175	1
14.38	14.21	5.386	3.312	4.956	1
14.69	14.49	5.563	3.259	5.219	1
14.11	14.1	5.42	3.302	5	1
16.63	15.46	6.053	3.465	5.877	1
20.2	16.89	6.285	3.864	6.187	2
19.57	16.74	6.384	3.772	6.273	2
19.51	16.71	6.366	3.801	6.185	2
18.27	16.09	6.173	3.651	6.197	2
18.88	16.26	6.084	3.764	6.109	2
18.98	16.66	6.549	3.67	6.498	2
21.18	17.21	6.573	4.033	6.231	2
20.88	17.05	6.45	4.032	6.321	2
20.1	16.99	6.581	3.785	6.449	2
12.22	13.32	5.224	2.967	5.221	3
11.82	13.4	5.314	2.777	5.178	3
11.21	13.13	5.279	2.687	5.275	3
11.43	13.13	5.176	2.719	5.132	3
12.49	13.46	5.267	2.967	5.002	3
12.7	13.71	5.386	2.911	5.316	3
10.79	12.93	5.317	2.648	5.194	3
11.83	13.23	5.263	2.84	5.307	3
12.01	13.52	5.405	2.776	5.27	3
