13.74	14.05	5.482	3.114	4.825	1
14.59	14.28	5.351	3.333	4.781	1
13.99	13.83	5.119	3.383	4.781	1
15.69	14.75	5.527	3.514	5.046	1
14.7	14.21	5.205	3.466	4.649	1
12.72	13.57	5.226	3.049	4.914	1
14.16	14.4	5.658	3.129	5.176	1
14.11	14.26	5.52	3.168	5.219	1
15.88	14.9	5.618	3.507	5.091	1
19.46	16.5	6.113	3.892	6.009	2
19.18	16.63	6.369	3.681	6.229	2
18.95	16.42	6.248	3.755	6.148	2
18.83	16.29	6.037	3.786	5.879	2
18.85	16.17	6.152	3.806	6.2	2
17.63	15.86	6.033	3.573	5.929	2
19.94	16.92	6.675	3.763	6.55	2
18.55	16.22	6.153	3.674	5.894	2
18.45	16.12	6.107	3.769	5.794	2
11.56	13.31	5.363	2.683	5.182	3
11.81	13.45	5.413	2.716	5.352	3
10.91	12.8	5.088	2.675	4.956	3
11.23	12.82	5.089	2.821	4.957	3
10.59	12.41	4.899	2.787	4.794	3
10.93	12.8	5.046	2.717	5.045	3
11.27	12.86	5.091	2.804	5.001	3
11.87	13.02	5.132	2.953	5.132	3
10.82	12.83	5.18	2.63	5.089	3
