0.296396,0.130631,0.141441,0.134685,0.210811,0.134685,0.208333,0.126126,0.106532,
0.718828,0.657741,0.656067,0.558577,0.532636,0.762761,0.59749,0.585774,0.260251,
0.289583,0.124074,0.134954,0.130324,0.201389,0.126157,0.205324,0.118056,0.104861,
0.691566,0.46506,0.501205,0.492771,0.426506,0.910843,0.508434,0.345783,0.155422,
0.75,0.691667,0.680556,0.319444,0.494444,0.405556,0.516667,0.783333,0.166667,
0.711364,0.836364,0.852273,0.752273,0.554545,0.936364,0.759091,0.811364,0.202273,
0.816667,0.95,0.85,0.766667,0.6,0.25,0.85,0.9,0.183333,
0.792308,0.876923,0.892308,0.292308,0.738462,0.923077,0.630769,0.323077,0.353846,
0.633333,0.444444,0.377778,0.544444,0.744444,0.166667,0.355556,0.222222,0.155556,
0.8,0.375,0.525,0.2,0.25,0.3,0.325,0.175,0.35,
0.685714,0.8,0.657143,0.942857,0.757143,0.9,0.614286,0.442857,0.557143,
1,0.4,0.2,0.1,0.3,0.2,0.4,0.3,1,
0.825,0.4375,0.425,0.25,0.5875,0.875,0.5,0.9375,0.2,
0.72,0.6,0.76,0.46,0.62,0.84,0.6,0.88,0.72,
0.6,1,0.2,0.8,1,0.2,0.7,0.8,1,
0.66,0.56,0.46,0.88,0.52,0.8,0.62,0.88,0.14,
0.7,0.8,0.75,0.15,1,0.5,0.3,0.95,1,
0.8,1,1,1,1,0.266667,0.933333,0.933333,0.933333,
1,1,1,0.8,0.2,1,0.4,0.1,0.1,
0.566667,0.866667,0.916667,0.966667,0.65,0.983333,0.683333,0.9,0.766667,
0.4,0.25,0.35,0.55,0.6,0.1,0.65,0.9,0.1,
1,0.8,1,1,0.6,0.1,0.3,0.1,1,
0.866667,1,1,0.9,0.966667,1,0.633333,1,1,
1,0.4,0.3,1,0.4,1,1,0.1,0.1,
0.3,0.6,0.4,1,0.3,0.3,0.3,0.4,0.1,
0.4,1,0.4,0.7,0.3,1,0.9,1,0.1,
0.4,0.3,0.1,0.1,0.2,0.1,0.4,0.8,0.1,
0.8,1,0.4,0.4,0.8,1,0.8,0.2,0.1,
0.4,0.9,0.7,0.45,0.35,0.25,1,0.35,0.1,
0.5,1,1,1,1,1,1,0.1,0.1,
0.7,0.1,0.2,0.3,0.2,0.1,0.2,0.1,0.1,
1,1,1,1,0.5,1,1,1,0.7,
0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.8,
